month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,3,791618.811,609677.925,829994.483,861884.097,675902.581,733035.961,554677.359,700487.924,691101.446,830900.037,971031.713,838091.933,654174.991,571429.233,582512.504,654129.658,677216.334,766344.681,758448.87,810494.732,569048.716,580940.003,580540.947,557491.724,509577.017,522539.403,528874.101,624102.24,592004.47,618613.741,604068.003,574605.218,614195.671,604829.944,545377.084,653299.984,544040.808,516248.782,457728.977,
,4,800999.278,606428.717,832018.706,876804.09,684887.755,716732.017,560612.923,700025.513,718111.554,839945.591,972502.772,857257.19,654413.507,567357.968,578458.469,654734.003,676438.417,761421.8,768765.803,823925.685,580746.09,583562.525,581380.666,556848.664,508078.356,532210.895,534512.007,620414.806,580189.709,613403.266,608702.699,576370.135,619028.404,603221.208,546205.778,664492.744,528648.393,510436.16,464117.745,
,5,794714.055,612686.385,814677.829,894160.459,687904.675,710509.649,546719.266,706920.565,720576.081,855106.274,974368.138,868001.328,654474.773,570872.866,587055.744,646653.74,675198.261,748770.102,785854.625,837922.16,597071.762,592708.435,581113.65,557560.044,514357.436,547663.173,538307.659,618493.097,574795.842,618717.307,615261.712,575504.049,620228.361,603604.75,547868.558,675979.761,522173.184,508046.73,470457.122,
,6,782331.672,607536.911,827488.863,919311.237,704089.603,688120.699,549792.731,715387.416,733913.129,,979933.661,884235.363,650921.349,574963.822,595269.875,640600.271,667674.534,737948.44,802026.452,852498.532,615080.169,601783.313,584168.288,555150.619,509591.382,556434.917,541308.726,622274.647,565960.2,618356.853,617628.288,574202.123,623292.577,603996.643,549960.909,691606.887,517433.83,505021.674,479837.032,
,7,785152.75,598584.133,844589.042,933745.494,719658.781,715584.224,541529.729,715710.905,722711.14,,988017.635,897585.636,652186.447,585293.095,606270.757,633978.331,661206.44,728986.654,819221.827,857125.228,630305.169,606776.087,588554.787,559815.301,498918.84,566974.407,540006.299,629927.757,558154.67,617279.578,615119.936,575423.629,627821.453,610614.448,552944.111,710017.354,521140.188,508149.526,485799.787,
,8,786469.257,620551.121,866596.108,945743.603,731942.666,734288.095,521967.839,730976.578,712906.148,,1002296.861,902878.116,660986.965,600697.686,622572.781,636867.697,665412.276,720632.684,827628.735,862009.166,635004.228,610145.72,595922.415,562154.254,487102.868,580523.964,536975.285,637030.527,556123.696,622476.864,616287.989,573584.303,634833.915,617855.002,563025.945,718397.871,538571.852,515242.119,491097.827,
,9,793965.591,630861.531,881860.586,941114.07,746484.947,744022.941,542416.527,746914.521,695682.998,,1020561.648,905293.891,663492.909,616241.641,624978.331,647236.278,655982.98,712338.472,831647.883,866091.055,634294.862,612068.878,608744.33,561668.255,497414.496,594184.542,534312.713,633116.156,557713.785,624193.773,619627.365,571428.714,642018.968,627884.219,574471.881,722742.706,564847.391,520032.025,492957.504,
,10,799876.582,638535.358,877188.23,947234.506,752738.19,767001.955,554158.814,782160.012,680771.93,,1042519.557,913236.792,665895.836,630438.824,634299.271,658556.213,657001.502,710746.689,829216.692,859191.271,632235.923,607180.766,620077.837,566187.941,497433.753,601799.045,532335.045,626980.437,564248.994,632241.95,619389.272,563827.428,649159.42,633782.523,588154.375,720595.541,573474.974,522761.436,497174.753,
,11,804988.117,659184.056,889226.879,946355.922,760877.557,771365.123,571847.84,807079.459,668741.334,,1055707.28,924075.116,674294.974,643023.48,643085.883,664629.858,658487.34,705814.563,827604.917,838402.294,624643.824,602104.379,626385.84,574686.617,512169.157,610267.869,532057.57,625336.692,567757.355,636440.966,617346.778,558412.179,653971.34,638465.686,595427.389,709472.904,580869.412,526069.286,496050.724,
,12,812084.722,648571.964,903781.501,938226.879,764422.362,771792.048,595269.898,819852.961,652958.421,,1068501.783,930999.275,680494.194,658056.761,646195.422,667126.767,655130.895,709298.65,829564.412,817219.935,618598.651,609538.322,631330.611,582133.589,530772.806,622496.783,539013.41,623467.542,574030.227,642517.269,617651.629,549418.12,660331.733,634019.827,605583.199,698736.115,585159.389,532228.558,497316.495,
,13,813550.308,640615.397,900367.132,947126.501,768378.325,775245.938,586802.708,849025.481,637442.509,,1078226.004,940113.02,680782.582,670335.429,647101.69,665521.114,655546.124,713458.311,844696.95,791562.543,621200.528,610535.227,638523.958,593727.493,549107.488,628232.37,548968.094,622273.792,576275.074,646399.121,610088.484,541334.991,666872.578,627923.451,614619.847,688257.691,586360.109,539975.979,498478.36,
,14,815846.333,638939.526,917577.902,954762.249,787500.748,781122.591,588547.111,844128.132,625545.415,,1087547.268,951331.257,686447.871,682333.649,655478.055,664933.852,663399.254,719399.457,867486.012,784366.715,627233.902,609640.584,647680.108,604574.664,560232.027,634549.898,552481.656,629668.683,574924.879,651872.318,603438.734,531885.161,672819.784,615995.46,622462.076,676311.522,576341.209,554893.241,501260.985,
,15,841107.062,631467.783,942445.094,972956.778,798628.784,772984.657,593833.536,839866.701,608372.152,,1088069.216,958494.764,693572.041,698581.463,660610.997,663999.828,667669.688,729684.951,879713.972,778696.622,627110.827,612821.128,653488.823,616567.532,569297.148,644744.107,557893.147,643080.466,572664.334,644104.977,594375.198,535791.282,682371.455,610311.39,624696.797,672267.207,582068.553,565774.803,498909.403,
,16,854055,620410.408,968353.448,987135.79,812894.699,769431.256,587137.358,863154.474,590218.156,,1093273.714,964789.639,704355.912,720857.229,660153.536,665641.063,677945.439,744807.896,888380.054,782135.642,634345.415,619868.57,660386.213,624465.408,576718.404,656221.643,555718.313,655391.855,577746.011,651102.833,585741.446,541361.638,691921.215,608947.073,632803.092,669003.121,590033.19,573987.514,499951.773,
,17,881813.512,616941.722,986084.799,1005601.822,833586.063,762580.113,587387.186,872031.729,578426.703,,1091579.588,967784.146,714983.877,730502.978,658633.097,671396.252,689849.405,749161.825,899005.331,787082.086,636903.069,618507.281,666314.343,631827.312,584264.107,667274.757,550608.963,663851.774,585462.542,657377.862,574876.49,554532.505,688866.552,612059.582,634612.42,661955.158,595267.339,579546.487,499536.852,
,18,914479.527,612510.03,981757.312,1025939.861,837402.362,752793.31,596146.614,874466.15,564434.712,,1089836.795,967779.884,725914.261,742151.805,658582.54,673419.807,701039.409,757844.373,919326.685,797707.521,637997.765,626314.865,673561.627,639957.983,592263.248,673719.205,548698.156,662981.962,598317.657,668557.472,566308.69,574180.727,679778.869,615625.538,637015.043,660074.115,593317.293,575433.57,499911.887,
,19,910300.042,600971.153,996636.246,1039738.185,843230.746,757915.686,581945.544,894532.508,565421.356,,1091592.847,966953.691,737861.221,739146.456,668517.754,674506.598,701977.424,767580.077,928871.792,799132.49,641773.879,638364.485,672642.035,650961.304,592363.132,679676.086,555571.943,659658.689,612752.917,675050.892,562833.997,591277.63,663722.353,620026.434,639376.028,656781.988,594979.076,566134.389,502422.863,
,20,919635.803,630178.528,964525.076,1054934.36,857769.005,758519.134,570715.123,892094.058,561119.221,,1094663.555,968816.187,752076.593,734672.521,673977.294,685331.701,699060.591,773547.6,943648.168,802631.41,657230.637,648343.241,676547.796,659071.891,597045.565,681914.067,564189.376,647232.987,626262.819,680836.568,560490.475,596909.061,648812.923,627777.451,638548.224,644242.239,594508.679,556599.473,519669.656,
,21,931471.573,646119.963,936702.536,1053495.232,865940.243,769661.833,563266.877,883276.076,592134.601,,1095964.226,967025.307,774755.484,723376.156,676389.598,691247.287,693685.984,777541.778,962039.541,807251.482,667928.12,662735.776,684855.176,664792.886,603614.328,691119.379,580982.546,629172.856,636535.512,683321.33,560105.742,603774.734,634072.686,634038.088,637334.249,635581.633,591374.929,550076.772,524560.23,
,22,928542.092,661548.074,936726.599,1058975.905,861965.592,780053.836,550956.895,884056.059,610780.003,,1102219.981,972414.264,791899.763,724503.776,675752.102,690763.104,685663.58,788068.662,974018.21,809723.821,672518.834,667824.802,694150.587,675088.386,611712.094,695637.922,597387.951,612399.39,640560.931,684622.156,576204.622,602686.571,628376.356,635778.392,634856.292,627647.316,592296.692,544453.876,528372.556,
,23,953223.783,690498.788,918538.73,1033109.067,870430.908,789115.612,557581.338,886416.592,633722.368,,1107775.702,982916.369,800563.723,728886.962,668280.399,688244.383,675389.928,796305.953,973691.464,814152.265,675665.032,667063.783,701010.587,683682.464,614509.149,715697.217,617767.569,599726.934,642460.015,682123.501,583539.014,597811.822,626768.542,635465.835,631253.613,617181.714,594976.996,545290.496,531999.043,
,24,978865.138,707044.22,911508.631,1015996.184,883499.275,799593.198,559600.305,896284.961,666886.23,,1113984.001,991698.321,800042.302,741231.523,654042.402,679009.429,679731.823,802908.065,984404.576,824925.516,671860.374,663015.428,712659.682,687990.842,621587.06,721111.156,628110.11,597054.61,638785.992,684171.169,582206.156,591696.468,628924.222,636454.435,627723.968,605664.324,603048.936,546733.193,532189.677,
,25,989306.912,716269.691,917111.58,1003514.286,881826.15,816244.348,563104.186,900818.863,675562.809,,1118125.611,987295.732,784587.447,755909.05,650562.058,662051.363,685887.339,810856.64,995526.199,835758.986,660711.109,655639.866,726928.868,698280.975,614245.256,724142.825,629594.28,603260.331,629491.303,692151.836,583890.412,586260.871,630529.525,632236.144,634016.516,601572.644,608889.893,553075.847,521851.496,
,26,1006388.811,693819.28,930722.228,979962.941,876804.606,828392.905,570471.087,915559.099,686261.533,,1122129.468,973587.803,749219.045,774111.286,652207.872,653441.4,684677.043,819699.383,1014036.099,844161.783,655860.243,638332.656,738639.468,713488.102,596510.41,717910.8,619888.607,610128.074,625772.332,703663.788,593517.51,581089.833,635469.331,628311.547,634824.576,597491.144,620648.573,559545.365,519120.93,
,27,1007962.037,694526.771,927695.98,966310.885,888198.763,828099.864,568606.684,930530.636,677241.002,,1117222.403,958444.113,714878.348,788273.513,652708.827,642183.447,684206.884,832869.272,1027827.624,858655.393,651774.455,625368.683,751928.578,720144.219,572018.796,715963.955,609794.639,623622.511,627435.056,707976.949,589927.855,579142.312,634888.104,631252.658,638165.908,594155.861,632598.496,567080.34,521264.37,
,28,1010649.473,682622.915,956224.184,958778.632,857329.809,838530.214,567494.915,927441.989,676057.954,,1106208.83,950990.698,687510.867,796858.605,658551.118,636105.797,685401.656,849951.884,1037224.222,876837.743,649827.234,615144.127,764893.757,719666.098,547055.711,708629.857,592636.768,641396.035,626581.745,708615.517,599223.324,580391.925,631405.293,633752.534,646804.126,596142.608,644561.36,568921.7,518658.927,
,29,1015672.734,653866.831,985612.059,961847.194,831176.71,839018.166,561275.542,933152.133,678151.31,,1090703.469,933561.934,659489.979,814520.512,660280.85,633784.412,682362.763,870222.019,1045739.62,880786.12,658686.078,606637.101,771231.719,719047.789,519443.291,716854.5,577974.015,649027.608,635004.53,705825.042,615260.877,585815.925,632491.312,634538.397,668082.968,610234.278,648932.592,569301.464,516020.493,
,30,1018413.871,669632.718,977020.438,953495.546,805191.04,833753.926,556857.339,915308.796,670768.983,,1077267.5,928915.229,636529.434,812411.102,656480.477,631926.08,682426.497,887901.401,1048984.745,905643.444,675227.219,600501.125,772627.97,714303.937,511179.311,728844.366,568547.189,654934.057,653177.305,700812.379,635466.512,598203.768,635120.551,639916.669,669560.561,615828.847,654542.053,567027.365,510162.448,
,31,1034800.014,679989.849,986558.895,962367.079,774405.802,817792.309,561073.873,900443.408,696600.782,,1071613.587,934742.662,620277.213,807655.012,658679.625,626572.978,690816.794,902807.795,1035638.195,917845.708,681713.954,599266.369,771520.121,714486.541,513189.164,737801.95,569007.479,664869.687,651342.211,684457.303,650585.848,611322.86,633602.169,639788.261,671407.096,619966.731,658901.64,560022.466,503938.192,
